modelElementID,sentence
_VLMxQDVdEeqPG_FgW3bi6Q,2
_VLMxQDVdEeqPG_FgW3bi6Q,5
_AiuxcDVdEeqPG_FgW3bi6Q,5
_VLMxQDVdEeqPG_FgW3bi6Q,6
_AiuxcDVdEeqPG_FgW3bi6Q,6
_VLMxQDVdEeqPG_FgW3bi6Q,3
_AiuxcDVdEeqPG_FgW3bi6Q,3
_AiuxcDVdEeqPG_FgW3bi6Q,4
_VLMxQDVdEeqPG_FgW3bi6Q,16
_VLMxQDVdEeqPG_FgW3bi6Q,15
_VLMxQDVdEeqPG_FgW3bi6Q,10
_RAVbYDVdEeqPG_FgW3bi6Q,2
_RAVbYDVdEeqPG_FgW3bi6Q,3
_VLMxQDVdEeqPG_FgW3bi6Q,14
_RAVbYDVdEeqPG_FgW3bi6Q,5
_RAVbYDVdEeqPG_FgW3bi6Q,6
_RAVbYDVdEeqPG_FgW3bi6Q,7
_VLMxQDVdEeqPG_FgW3bi6Q,12
_RAVbYDVdEeqPG_FgW3bi6Q,8
_RAVbYDVdEeqPG_FgW3bi6Q,14
_RAVbYDVdEeqPG_FgW3bi6Q,10
_RAVbYDVdEeqPG_FgW3bi6Q,9
_AiuxcDVdEeqPG_FgW3bi6Q,18
_TKDxQDVdEeqPG_FgW3bi6Q,13
_TKDxQDVdEeqPG_FgW3bi6Q,10
_TKDxQDVdEeqPG_FgW3bi6Q,12
_TKDxQDVdEeqPG_FgW3bi6Q,11
